Order_ID,Order_Date,Product_ID,Product_Name,Product_Category,Supplier_ID,Supplier_Name,Supplier_Rating,Warehouse_ID,Warehouse_Name,Warehouse_Location,Warehouse_Capacity,Warehouse_Utilization,Quantity,Unit_Price,Order_Value,Shipping_Mode,Origin,Destination,Distance_KM,Shipping_Cost,Expected_Delivery_Date,Actual_Delivery_Date,Delivery_Status,Delivery_Delay_Days,Inventory_Level,Reorder_Level,Inventory_Status,Delay_Category,Order_Month,Order_Month_Name,Order_Quarter,Order_Year,Order_Day,Shipping_Cost_Per_KM,Inventory_Risk,Warehouse_Risk,Delivery_Risk,Overall_Risk
ORD00692,2025-01-01,P005,Mouse,Accessories,SUP001,TechSource India,4.6,WH005,Delhi Distribution,Delhi,14000,76.89,69,800,55200,Rail,Mumbai,Kolkata,1359,6795,2025-01-11,2025-01-11,On Time,0,552,269,Sufficient,On Time,1,January,Q1,2025,Wednesday,5.0,Low Risk,Medium Risk,Low Risk,Low Risk
ORD05168,2025-01-01,P007,Scanner,Office Equipment,SUP001,TechSource India,4.6,WH002,Bangalore Hub,Bangalore,12000,79.92,47,9000,423000,Air,Pune,Hyderabad,2120,38160,2025-01-05,2025-01-05,On Time,0,46,213,Reorder Required,On Time,1,January,Q1,2025,Wednesday,18.0,High Risk,Medium Risk,Low Risk,Medium Risk
ORD04803,2025-01-01,P014,Webcam,Accessories,SUP007,Digital Supply Co,3.8,WH002,Bangalore Hub,Bangalore,12000,80.0,74,4000,296000,Air,Delhi,Pune,1162,20916,2025-01-04,2025-01-10,Delayed,6,938,280,Sufficient,Moderate Delay,1,January,Q1,2025,Wednesday,18.0,Low Risk,Medium Risk,High Risk,Medium Risk
ORD03589,2025-01-01,P002,Desktop PC,Electronics,SUP006,Reliable Components,4.7,WH006,Pune Warehouse,Pune,8000,79.21,84,55000,4620000,Road,Bangalore,Mumbai,1607,12856,2025-01-05,2025-01-05,On Time,0,320,258,Sufficient,On Time,1,January,Q1,2025,Wednesday,8.0,Medium Risk,Medium Risk,Low Risk,Medium Risk
ORD00489,2025-01-01,P014,Webcam,Accessories,SUP002,Global Electronics,4.2,WH004,Mumbai Central,Mumbai,15000,49.29,89,4000,356000,Air,Delhi,Chennai,1264,22752,2025-01-05,2025-01-05,On Time,0,826,275,Sufficient,On Time,1,January,Q1,2025,Wednesday,18.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD00425,2025-01-01,P002,Desktop PC,Electronics,SUP001,TechSource India,4.6,WH004,Mumbai Central,Mumbai,15000,56.25,81,55000,4455000,Road,Pune,Mumbai,1748,13984,2025-01-07,2025-01-13,Delayed,6,593,263,Sufficient,Moderate Delay,1,January,Q1,2025,Wednesday,8.0,Low Risk,Low Risk,High Risk,Medium Risk
ORD02099,2025-01-01,P013,Graphics Card,Computer Parts,SUP005,SmartTech Distributors,4.4,WH006,Pune Warehouse,Pune,8000,65.53,65,45000,2925000,Air,Bangalore,Ahmedabad,1932,34776,2025-01-04,2025-01-05,On Time,1,69,155,Reorder Required,Minor Delay,1,January,Q1,2025,Wednesday,18.0,High Risk,Low Risk,Medium Risk,Medium Risk
ORD02632,2025-01-01,P007,Scanner,Office Equipment,SUP001,TechSource India,4.6,WH006,Pune Warehouse,Pune,8000,73.02,65,9000,585000,Road,Pune,Ahmedabad,227,1816,2025-01-04,2025-01-04,On Time,0,637,120,Sufficient,On Time,1,January,Q1,2025,Wednesday,8.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD07608,2025-01-01,P005,Mouse,Accessories,SUP007,Digital Supply Co,3.8,WH003,Hyderabad Hub,Hyderabad,9000,57.24,88,800,70400,Rail,Bangalore,Jaipur,1874,9370,2025-01-08,2025-01-09,On Time,1,998,180,Sufficient,Minor Delay,1,January,Q1,2025,Wednesday,5.0,Low Risk,Low Risk,Medium Risk,Low Risk
ORD04437,2025-01-01,P015,Headset,Accessories,SUP001,TechSource India,4.6,WH005,Delhi Distribution,Delhi,14000,82.46,28,2500,70000,Rail,Hyderabad,Bangalore,2234,11170,2025-01-13,2025-01-13,On Time,0,818,181,Sufficient,On Time,1,January,Q1,2025,Wednesday,5.0,Low Risk,Medium Risk,Low Risk,Low Risk
ORD07598,2025-01-01,P015,Headset,Accessories,SUP008,FutureTech Suppliers,4.5,WH001,Chennai Central,Chennai,10000,84.38,11,2500,27500,Rail,Pune,Bangalore,1572,7860,2025-01-06,2025-01-06,On Time,0,455,141,Sufficient,On Time,1,January,Q1,2025,Wednesday,5.0,Low Risk,Medium Risk,Low Risk,Low Risk
ORD07920,2025-01-01,P003,Monitor,Electronics,SUP001,TechSource India,4.6,WH005,Delhi Distribution,Delhi,14000,85.43,39,18000,702000,Air,Hyderabad,Ahmedabad,1086,19548,2025-01-05,2025-01-05,On Time,0,801,174,Sufficient,On Time,1,January,Q1,2025,Wednesday,18.0,Low Risk,Medium Risk,Low Risk,Low Risk
ORD03295,2025-01-01,P012,RAM,Computer Parts,SUP008,FutureTech Suppliers,4.5,WH001,Chennai Central,Chennai,10000,69.78,50,3500,175000,Air,Delhi,Mumbai,1976,35568,2025-01-04,2025-01-04,On Time,0,311,172,Sufficient,On Time,1,January,Q1,2025,Wednesday,18.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD04691,2025-01-01,P012,RAM,Computer Parts,SUP008,FutureTech Suppliers,4.5,WH001,Chennai Central,Chennai,10000,82.39,9,3500,31500,Air,Mumbai,Bangalore,2160,38880,2025-01-05,2025-01-05,On Time,0,822,260,Sufficient,On Time,1,January,Q1,2025,Wednesday,18.0,Low Risk,Medium Risk,Low Risk,Low Risk
ORD00012,2025-01-01,P010,Hard Drive,Storage,SUP006,Reliable Components,4.7,WH004,Mumbai Central,Mumbai,15000,70.76,3,6000,18000,Road,Hyderabad,Delhi,1030,8240,2025-01-04,2025-01-04,On Time,0,107,287,Reorder Required,On Time,1,January,Q1,2025,Wednesday,8.0,High Risk,Low Risk,Low Risk,Medium Risk
ORD00254,2025-01-01,P001,Laptop,Electronics,SUP007,Digital Supply Co,3.8,WH004,Mumbai Central,Mumbai,15000,86.8,94,65000,6110000,Sea,Bangalore,Kolkata,2069,6207,2025-01-17,2025-01-18,On Time,1,123,222,Reorder Required,Minor Delay,1,January,Q1,2025,Wednesday,3.0,High Risk,Medium Risk,Medium Risk,High Risk
ORD01529,2025-01-01,P012,RAM,Computer Parts,SUP004,NextGen Supplies,3.9,WH002,Bangalore Hub,Bangalore,12000,75.75,38,3500,133000,Air,Hyderabad,Ahmedabad,125,2250,2025-01-04,2025-01-05,On Time,1,540,253,Sufficient,Minor Delay,1,January,Q1,2025,Wednesday,18.0,Low Risk,Medium Risk,Medium Risk,Medium Risk
ORD06697,2025-01-01,P003,Monitor,Electronics,SUP003,Prime Components,4.8,WH002,Bangalore Hub,Bangalore,12000,48.79,10,18000,180000,Sea,Hyderabad,Mumbai,164,492,2025-01-14,2025-01-14,On Time,0,99,240,Reorder Required,On Time,1,January,Q1,2025,Wednesday,3.0,High Risk,Low Risk,Low Risk,Medium Risk
ORD07572,2025-01-01,P009,Switch,Networking,SUP006,Reliable Components,4.7,WH003,Hyderabad Hub,Hyderabad,9000,45.96,96,7500,720000,Road,Pune,Hyderabad,1224,9792,2025-01-09,2025-01-09,On Time,0,236,113,Sufficient,On Time,1,January,Q1,2025,Wednesday,8.0,Low Risk,Low Risk,Low Risk,Low Risk
ORD03368,2025-01-01,P013,Graphics Card,Computer Parts,SUP002,Global Electronics,4.2,WH001,Chennai Central,Chennai,10000,89.84,24,45000,1080000,Sea,Pune,Ahmedabad,1600,4800,2025-01-15,2025-01-16,On Time,1,884,264,Sufficient,Minor Delay,1,January,Q1,2025,Wednesday,3.0,Low Risk,Medium Risk,Medium Risk,Medium Risk
ORD04148,2025-01-01,P011,SSD,Storage,SUP007,Digital Supply Co,3.8,WH003,Hyderabad Hub,Hyderabad,9000,47.17,1,7000,7000,Sea,Hyderabad,Bangalore,638,1914,2025-01-14,2025-01-14,On Time,0,351,171,Sufficient,On Time,1,January,Q1,2025,Wednesday,3.0,Low Risk,Low Risk,Low Risk,Low Risk
