Order_ID,Order_Date,Product_ID,Product_Name,Product_Category,Supplier_ID,Supplier_Name,Supplier_Rating,Warehouse_ID,Warehouse_Name,Warehouse_Location,Warehouse_Capacity,Warehouse_Utilization,Quantity,Unit_Price,Order_Value,Shipping_Mode,Origin,Destination,Distance_KM,Shipping_Cost,Expected_Delivery_Date,Actual_Delivery_Date,Delivery_Status,Delivery_Delay_Days,Inventory_Level,Reorder_Level,Inventory_Status
ORD00001,2025-11-24,P002,Desktop PC,Electronics,SUP001,TechSource India,4.6,WH006,Pune Warehouse,Pune,8000,56.59,36,55000,1980000,Rail,Bangalore,Hyderabad,469,2345,2025-11-30,2025-11-30,On Time,0,50,123,Reorder Required
ORD00002,2025-09-16,P010,Hard Drive,Storage,SUP001,TechSource India,4.6,WH005,Delhi Distribution,Delhi,14000,82.0,26,6000,156000,Sea,Bangalore,Ahmedabad,2463,7389,2025-09-30,2025-09-30,On Time,0,797,140,Sufficient
ORD00003,2025-06-24,P005,Mouse,Accessories,SUP003,Prime Components,4.8,WH002,Bangalore Hub,Bangalore,12000,87.78,98,800,78400,Air,Chennai,Bangalore,1606,28908,2025-06-25,2025-06-25,On Time,0,638,167,Sufficient
ORD00004,2025-08-24,P009,Switch,Networking,SUP002,Global Electronics,4.2,WH004,Mumbai Central,Mumbai,15000,85.97,11,7500,82500,Air,Pune,Jaipur,1531,27558,2025-08-26,2025-08-26,On Time,0,697,158,Sufficient
ORD00005,2025-02-10,P014,Webcam,Accessories,SUP004,NextGen Supplies,3.9,WH001,Chennai Central,Chennai,10000,79.35,49,4000,196000,Air,Mumbai,Pune,716,12888,2025-02-13,2025-02-13,On Time,0,738,274,Sufficient
ORD00006,2025-11-08,P011,SSD,Storage,SUP003,Prime Components,4.8,WH005,Delhi Distribution,Delhi,14000,89.67,94,7000,658000,Rail,Bangalore,Ahmedabad,1604,8020,2025-11-17,2025-11-17,On Time,0,721,183,Sufficient
ORD00007,2025-01-29,P004,Keyboard,Accessories,SUP001,TechSource India,4.6,WH003,Hyderabad Hub,Hyderabad,9000,69.32,52,1500,78000,Air,Chennai,Mumbai,2373,42714,2025-02-01,2025-02-02,On Time,1,425,264,Sufficient
ORD00008,2025-05-16,P003,Monitor,Electronics,SUP004,NextGen Supplies,3.9,WH006,Pune Warehouse,Pune,8000,49.82,72,18000,1296000,Air,Pune,Jaipur,1804,32472,2025-05-20,2025-05-20,On Time,0,541,226,Sufficient
ORD00009,2025-01-25,P014,Webcam,Accessories,SUP002,Global Electronics,4.2,WH002,Bangalore Hub,Bangalore,12000,96.47,81,4000,324000,Rail,Pune,Kolkata,2492,12460,2025-01-31,2025-02-01,On Time,1,561,164,Sufficient
ORD00010,2025-01-06,P011,SSD,Storage,SUP002,Global Electronics,4.2,WH006,Pune Warehouse,Pune,8000,91.42,69,7000,483000,Air,Pune,Bangalore,1252,22536,2025-01-10,2025-01-10,On Time,0,996,284,Sufficient
ORD00011,2025-05-15,P009,Switch,Networking,SUP003,Prime Components,4.8,WH005,Delhi Distribution,Delhi,14000,93.89,14,7500,105000,Air,Pune,Coimbatore,864,15552,2025-05-17,2025-05-17,On Time,0,572,299,Sufficient
ORD00012,2025-01-01,P010,Hard Drive,Storage,SUP006,Reliable Components,4.7,WH004,Mumbai Central,Mumbai,15000,70.76,3,6000,18000,Road,Hyderabad,Delhi,1030,8240,2025-01-04,2025-01-04,On Time,0,107,287,Reorder Required
ORD00013,2025-02-05,P013,Graphics Card,Computer Parts,SUP003,Prime Components,4.8,WH002,Bangalore Hub,Bangalore,12000,85.03,85,45000,3825000,Sea,Delhi,Hyderabad,1135,3405,2025-02-23,2025-02-24,On Time,1,236,238,Reorder Required
ORD00014,2025-12-20,P004,Keyboard,Accessories,SUP005,SmartTech Distributors,4.4,WH004,Mumbai Central,Mumbai,15000,76.18,86,1500,129000,Air,Mumbai,Coimbatore,1899,34182,2025-12-21,2025-12-21,On Time,0,366,105,Sufficient
ORD00015,2025-04-28,P010,Hard Drive,Storage,SUP004,NextGen Supplies,3.9,WH001,Chennai Central,Chennai,10000,56.35,10,6000,60000,Road,Bangalore,Chennai,1403,11224,2025-05-01,2025-05-01,On Time,0,705,224,Sufficient
ORD00016,2025-03-09,P012,RAM,Computer Parts,SUP008,FutureTech Suppliers,4.5,WH002,Bangalore Hub,Bangalore,12000,97.16,61,3500,213500,Sea,Bangalore,Kolkata,1501,4503,2025-03-25,2025-03-25,On Time,0,709,267,Sufficient
ORD00017,2025-02-20,P001,Laptop,Electronics,SUP007,Digital Supply Co,3.8,WH006,Pune Warehouse,Pune,8000,69.52,44,65000,2860000,Road,Bangalore,Mumbai,829,6632,2025-02-27,2025-02-28,On Time,1,207,171,Sufficient
ORD00018,2025-02-08,P008,Router,Networking,SUP002,Global Electronics,4.2,WH001,Chennai Central,Chennai,10000,92.83,84,5000,420000,Road,Chennai,Mumbai,731,5848,2025-02-14,2025-02-14,On Time,0,905,202,Sufficient
ORD00019,2025-03-26,P007,Scanner,Office Equipment,SUP001,TechSource India,4.6,WH004,Mumbai Central,Mumbai,15000,56.54,34,9000,306000,Sea,Hyderabad,Kolkata,2326,6978,2025-04-15,2025-04-15,On Time,0,214,175,Sufficient
ORD00020,2025-01-30,P010,Hard Drive,Storage,SUP001,TechSource India,4.6,WH006,Pune Warehouse,Pune,8000,49.25,41,6000,246000,Road,Chennai,Jaipur,2002,16016,2025-02-06,2025-02-06,On Time,0,78,230,Reorder Required
ORD00021,2025-04-06,P002,Desktop PC,Electronics,SUP002,Global Electronics,4.2,WH006,Pune Warehouse,Pune,8000,75.93,31,55000,1705000,Sea,Chennai,Jaipur,1058,3174,2025-04-25,2025-04-25,On Time,0,449,268,Sufficient
ORD00022,2025-09-25,P006,Printer,Office Equipment,SUP005,SmartTech Distributors,4.4,WH002,Bangalore Hub,Bangalore,12000,94.24,86,12000,1032000,Air,Bangalore,Delhi,1671,30078,2025-09-27,2025-09-27,On Time,0,488,180,Sufficient
ORD00023,2025-02-07,P001,Laptop,Electronics,SUP008,FutureTech Suppliers,4.5,WH005,Delhi Distribution,Delhi,14000,91.6,73,65000,4745000,Road,Chennai,Coimbatore,923,7384,2025-02-14,2025-02-14,On Time,0,922,117,Sufficient
ORD00024,2025-07-09,P005,Mouse,Accessories,SUP003,Prime Components,4.8,WH004,Mumbai Central,Mumbai,15000,59.02,70,800,56000,Air,Delhi,Coimbatore,82,1476,2025-07-12,2025-07-12,On Time,0,981,134,Sufficient
ORD00025,2025-02-24,P012,RAM,Computer Parts,SUP003,Prime Components,4.8,WH003,Hyderabad Hub,Hyderabad,9000,67.45,37,3500,129500,Rail,Pune,Mumbai,1131,5655,2025-03-08,2025-03-08,On Time,0,114,262,Reorder Required
ORD00026,2025-05-22,P001,Laptop,Electronics,SUP001,TechSource India,4.6,WH003,Hyderabad Hub,Hyderabad,9000,50.93,99,65000,6435000,Rail,Pune,Delhi,711,3555,2025-06-03,2025-06-04,On Time,1,594,102,Sufficient
ORD00027,2025-12-20,P015,Headset,Accessories,SUP003,Prime Components,4.8,WH005,Delhi Distribution,Delhi,14000,92.64,5,2500,12500,Air,Delhi,Coimbatore,656,11808,2025-12-24,2025-12-24,On Time,0,393,110,Sufficient
ORD00028,2025-04-18,P011,SSD,Storage,SUP004,NextGen Supplies,3.9,WH006,Pune Warehouse,Pune,8000,46.31,14,7000,98000,Air,Delhi,Kolkata,683,12294,2025-04-20,2025-04-20,On Time,0,922,205,Sufficient
ORD00029,2025-06-20,P013,Graphics Card,Computer Parts,SUP007,Digital Supply Co,3.8,WH006,Pune Warehouse,Pune,8000,63.53,95,45000,4275000,Rail,Hyderabad,Bangalore,1616,8080,2025-06-25,2025-06-25,On Time,0,224,217,Sufficient
ORD00030,2025-04-27,P004,Keyboard,Accessories,SUP001,TechSource India,4.6,WH006,Pune Warehouse,Pune,8000,62.55,25,1500,37500,Sea,Hyderabad,Delhi,334,1002,2025-05-11,2025-05-12,On Time,1,715,237,Sufficient
ORD00031,2025-01-15,P002,Desktop PC,Electronics,SUP005,SmartTech Distributors,4.4,WH002,Bangalore Hub,Bangalore,12000,97.16,75,55000,4125000,Air,Chennai,Bangalore,2493,44874,2025-01-19,2025-01-19,On Time,0,466,255,Sufficient
ORD00032,2025-03-01,P007,Scanner,Office Equipment,SUP004,NextGen Supplies,3.9,WH003,Hyderabad Hub,Hyderabad,9000,48.71,6,9000,54000,Sea,Chennai,Coimbatore,2255,6765,2025-03-21,2025-03-21,On Time,0,392,210,Sufficient
ORD00033,2025-12-07,P015,Headset,Accessories,SUP006,Reliable Components,4.7,WH005,Delhi Distribution,Delhi,14000,60.67,41,2500,102500,Road,Pune,Delhi,2127,17016,2025-12-12,2025-12-12,On Time,0,432,278,Sufficient
ORD00034,2025-03-07,P004,Keyboard,Accessories,SUP007,Digital Supply Co,3.8,WH006,Pune Warehouse,Pune,8000,56.14,49,1500,73500,Rail,Delhi,Jaipur,1282,6410,2025-03-18,2025-03-18,On Time,0,331,173,Sufficient
ORD00035,2025-10-24,P010,Hard Drive,Storage,SUP006,Reliable Components,4.7,WH004,Mumbai Central,Mumbai,15000,60.04,57,6000,342000,Sea,Pune,Mumbai,2143,6429,2025-11-10,2025-11-10,On Time,0,694,121,Sufficient
ORD00036,2025-12-06,P011,SSD,Storage,SUP006,Reliable Components,4.7,WH001,Chennai Central,Chennai,10000,77.4,97,7000,679000,Rail,Pune,Delhi,970,4850,2025-12-14,2025-12-15,Delayed,1,270,221,Sufficient
ORD00037,2025-02-07,P008,Router,Networking,SUP007,Digital Supply Co,3.8,WH006,Pune Warehouse,Pune,8000,90.6,74,5000,370000,Rail,Pune,Kolkata,2074,10370,2025-02-18,2025-02-19,Delayed,1,934,292,Sufficient
ORD00038,2025-02-24,P013,Graphics Card,Computer Parts,SUP007,Digital Supply Co,3.8,WH002,Bangalore Hub,Bangalore,12000,97.36,23,45000,1035000,Sea,Chennai,Coimbatore,1070,3210,2025-03-07,2025-03-08,On Time,1,703,235,Sufficient
ORD00039,2025-11-01,P006,Printer,Office Equipment,SUP008,FutureTech Suppliers,4.5,WH005,Delhi Distribution,Delhi,14000,59.7,93,12000,1116000,Sea,Delhi,Ahmedabad,701,2103,2025-11-18,2025-11-18,On Time,0,880,263,Sufficient
ORD00040,2025-09-24,P008,Router,Networking,SUP004,NextGen Supplies,3.9,WH003,Hyderabad Hub,Hyderabad,9000,57.26,57,5000,285000,Road,Pune,Delhi,1010,8080,2025-09-29,2025-09-29,On Time,0,161,138,Sufficient
ORD00041,2025-12-22,P003,Monitor,Electronics,SUP004,NextGen Supplies,3.9,WH001,Chennai Central,Chennai,10000,75.96,54,18000,972000,Sea,Hyderabad,Coimbatore,1958,5874,2026-01-07,2026-01-14,Delayed,7,418,297,Sufficient
ORD00042,2025-12-23,P001,Laptop,Electronics,SUP007,Digital Supply Co,3.8,WH004,Mumbai Central,Mumbai,15000,46.54,1,65000,65000,Air,Hyderabad,Kolkata,1766,31788,2025-12-25,2025-12-25,On Time,0,466,224,Sufficient
ORD00043,2025-06-22,P011,SSD,Storage,SUP007,Digital Supply Co,3.8,WH006,Pune Warehouse,Pune,8000,67.72,22,7000,154000,Sea,Bangalore,Jaipur,2237,6711,2025-07-02,2025-07-02,On Time,0,105,264,Reorder Required
ORD00044,2025-08-25,P003,Monitor,Electronics,SUP001,TechSource India,4.6,WH003,Hyderabad Hub,Hyderabad,9000,95.41,49,18000,882000,Air,Bangalore,Ahmedabad,1388,24984,2025-08-28,2025-08-29,On Time,1,304,292,Sufficient
ORD00045,2025-08-04,P005,Mouse,Accessories,SUP002,Global Electronics,4.2,WH004,Mumbai Central,Mumbai,15000,55.57,3,800,2400,Road,Hyderabad,Mumbai,331,2648,2025-08-12,2025-08-13,Delayed,1,992,163,Sufficient
ORD00046,2025-01-11,P010,Hard Drive,Storage,SUP003,Prime Components,4.8,WH002,Bangalore Hub,Bangalore,12000,53.89,17,6000,102000,Sea,Pune,Bangalore,2360,7080,2025-01-24,2025-01-24,On Time,0,805,194,Sufficient
ORD00047,2025-11-07,P012,RAM,Computer Parts,SUP002,Global Electronics,4.2,WH002,Bangalore Hub,Bangalore,12000,55.51,40,3500,140000,Road,Delhi,Chennai,1327,10616,2025-11-14,2025-11-15,On Time,1,426,283,Sufficient
ORD00048,2025-10-31,P012,RAM,Computer Parts,SUP004,NextGen Supplies,3.9,WH001,Chennai Central,Chennai,10000,48.65,90,3500,315000,Air,Pune,Jaipur,545,9810,2025-11-01,2025-11-02,On Time,1,697,194,Sufficient
ORD00049,2025-11-28,P006,Printer,Office Equipment,SUP001,TechSource India,4.6,WH004,Mumbai Central,Mumbai,15000,96.17,63,12000,756000,Road,Mumbai,Pune,1933,15464,2025-12-06,2025-12-09,Delayed,3,771,233,Sufficient
ORD00050,2025-05-19,P010,Hard Drive,Storage,SUP008,FutureTech Suppliers,4.5,WH004,Mumbai Central,Mumbai,15000,75.2,56,6000,336000,Air,Hyderabad,Mumbai,404,7272,2025-05-22,2025-05-22,On Time,0,788,218,Sufficient
