Order_Year,Order_Month,Orders,Revenue,Shipping_Cost,Average_Delay,Month
2025,1,849,680074000,9835998,1.2909305064782097,2025-01
2025,2,794,677798900,8752233,1.3790931989924433,2025-02
2025,3,852,716193600,9307647,1.4471830985915493,2025-03
2025,4,790,628412800,8420333,1.2164556962025317,2025-04
2025,5,804,652101500,8327352,1.4266169154228856,2025-05
2025,6,790,541287200,8683674,1.3,2025-06
2025,7,850,719168500,9326901,1.42,2025-07
2025,8,810,703310200,8841055,1.1765432098765432,2025-08
2025,9,833,661292100,8862733,1.346938775510204,2025-09
2025,10,904,729708900,9878377,1.2676991150442478,2025-10
2025,11,830,761058600,9323124,1.3132530120481927,2025-11
2025,12,894,679182500,9597456,1.458612975391499,2025-12
