Product_ID,Product_Name,Product_Category,Orders,Quantity,Revenue,Average_Price,Average_Inventory
P001,Laptop,Electronics,663,33826,2198690000,65000.0,490.3710407239819
P002,Desktop PC,Electronics,621,32019,1761045000,55000.0,508.37359098228666
P013,Graphics Card,Computer Parts,680,34794,1565730000,45000.0,502.75
P003,Monitor,Electronics,703,35023,630414000,18000.0,509.2660028449502
P006,Printer,Office Equipment,656,33578,402936000,12000.0,529.060975609756
P007,Scanner,Office Equipment,716,36173,325557000,9000.0,516.0013966480446
P009,Switch,Networking,684,34789,260917500,7500.0,480.89912280701753
P011,SSD,Storage,683,32838,229866000,7000.0,508.50658857979505
P010,Hard Drive,Storage,631,32047,192282000,6000.0,499.3454833597464
P008,Router,Networking,659,34026,170130000,5000.0,505.7101669195751
P014,Webcam,Accessories,676,34449,137796000,4000.0,485.56360946745565
P012,RAM,Computer Parts,652,32957,115349500,3500.0,516.0628834355829
P015,Headset,Accessories,651,32442,81105000,2500.0,491.40399385560676
P004,Keyboard,Accessories,680,33924,50886000,1500.0,520.7117647058824
P005,Mouse,Accessories,645,33606,26884800,800.0,529.4418604651163
